0,Destination,Date,Description,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,Puerto Vimenez,2024-02-13,Cross Boarder Bus,Transportation,1,5.00 ,5.00 ,3.79,3.79
2,Puerto Vimenez,2024-02-13,Bus To David,Transportation,1,3.00 ,3.00 ,2.27,6.06
3,Puerto Vimenez,2024-02-13,Bus To Gorifita,Transportation,1,1.76 ,1.76 ,1.33,7.39
4,Puerto Vimenez,2024-02-13,Street Food,Food,1,3.00 ,3.00 ,2.27,9.67
5,Puerto Vimenez,2024-02-13,Dinner,Food,1,5.50 ,5.50 ,4.17,13.83
6,Puerto Vimenez,2024-02-13,Hotel,Lodging,1,17.00 ,17.00 ,12.88,26.71
7,Puerto Vimenez,2024-02-14,Hotel,Lodging,1,17.00 ,17.00 ,12.88,39.59
8,Puerto Vimenez,2024-02-14,Ferry,Transportation,1,10.50 ,10.50 ,7.95,47.55
9,Puerto Vimenez,2024-02-14,Food,Food,1,3900.00 ,3900.00 ,5.65,53.20
10,Puerto Vimenez,2024-02-14,Lunch And Dinner,Food,1,6600.00 ,6600.00 ,9.57,62.77
11,San Jose,2024-02-15,Fruit,Grocery,1,2100.00 ,2100.00 ,3.04,65.81
12,San Jose,2024-02-15,Tour,Activities,1,90.00 ,90.00 ,68.18,134.00
13,San Jose,2024-02-15,Grocery,Grocery,1,1400.00 ,1400.00 ,2.03,136.02
14,San Jose,2024-02-15,Bus Ticket To San Jose,Transportation,1,8790.00 ,8790.00 ,12.74,148.77
15,San Jose,2024-02-16,Coffee,Food,1,2000.00 ,2000.00 ,2.90,151.67
16,San Jose,2024-02-16,Lunch,Food,1,1390.00 ,1390.00 ,2.01,153.68
17,San Jose,2024-02-16,Social,Activities,1,1400.00 ,1400.00 ,2.03,155.71
18,San Jose,2024-02-16,Dinner,Food,1,1800.00 ,1800.00 ,2.61,158.32
19,San Jose,2024-02-16,Exit Fee,Others,1,8.00 ,8.00 ,6.06,164.38
20,San Jose,2024-02-16,Atm Fee,Others,1,2.00 ,2.00 ,2.00,166.38
21,San Jose,2024-02-16,Miscellaneous,Others,1,8.59 ,9.59 ,8.59,174.97
