0,Destination,Date,Description ,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,San Salvador,2024-02-27,Water,Others,1,0.65,0.65,0.49,0.49
2,San Salvador,2024-02-27,Food,Food,1,4.15,4.15,3.14,3.64
3,San Salvador,2024-02-27,Taxi,Transportation,1,8.00,8.00,6.06,9.70
4,San Salvador,2024-02-27,Hotel,Lodging,1,10.00,10.00,7.58,17.27
5,San Salvador,2024-02-27,Entry Tax,Others,1,12.00,12.00,9.09,26.36
6,San Salvador,2024-02-27,Honduras Entry Tax,Others,1,3.00,3.00,2.27,28.64
7,San Salvador,2024-02-27,Shuttle Bus (Honduras),Transportation,1,7.00,7.00,5.30,33.94
8,San Salvador,2024-02-27,Bus Border To San Salvador,Transportation,1,7.00,7.00,5.30,39.24
9,San Salvador,2024-02-28,Riguas,Food,1,0.50,0.50,0.38,39.62
10,San Salvador,2024-02-28,Fruit,Food,1,0.25,0.25,0.19,39.81
11,San Salvador,2024-02-28,Pupusa,Food,1,1.10,1.10,0.83,40.64
12,San Salvador,2024-02-28,Gym,Gym,1,2.25,2.25,1.70,42.35
13,San Salvador,2024-02-28,Comb,Others,1,0.25,0.25,0.19,42.54
14,San Salvador,2024-02-28,Lunch,Food,1,2.85,2.85,2.16,44.69
15,San Salvador,2024-02-28,Fruit,Food,1,2.50,2.50,1.89,46.59
16,San Salvador,2024-02-28,Egg,Grocery,1,1.00,1.00,0.76,47.35
17,San Salvador,2024-02-28,Coconut Water,Food,1,0.25,0.25,0.19,47.54
18,San Salvador,2024-02-28,Souvenir,Others,1,7.00,7.00,5.30,52.84
19,San Salvador,2024-02-29,Public Transport,Transportation,1,0.85,0.85,0.64,53.48
20,San Salvador,2024-02-29,Fruit,Food,1,0.50,0.50,0.38,53.86
21,San Salvador,2024-02-29,Snack,Food,1,2.90,2.90,2.20,56.06
22,San Salvador,2024-02-29,Lunch,Food,1,2.75,2.75,2.08,58.14
23,San Salvador,2024-02-29,Bus,Transportation,1,1.70,1.70,1.29,59.43
24,San Salvador,2024-02-29,Entrance,Activities,1,2.00,2.00,1.52,60.94
25,San Salvador,2024-02-29,Gym,Gym,1,2.00,2.00,1.52,62.46
26,Juayua,2024-03-01,Snack,Food,1,4.25,4.25,3.22,65.68
27,Juayua,2024-03-01,Hostal,Lodging,1,10.00,10.00,7.58,73.25
28,Juayua,2024-03-01,Bus,Transportation,1,2.65,2.65,2.01,75.26
29,Juayua,2024-03-01,Grocery,Grocery,1,2.75,2.75,2.08,77.34
30,Juayua,2024-03-01,Bus,Transportation,1,1.00,1.00,0.76,78.10
31,Juayua,2024-03-01,Gym,Gym,1,2.00,2.00,1.52,79.62
32,Santa Ana,2024-03-02,Bus Ticket To Santa Ana,Transportation,1,1.75,1.75,1.33,80.94
33,Santa Ana,2024-03-02,Food,Food,1,3.75,3.75,2.84,83.78
34,Santa Ana,2024-03-02,Grocery,Grocery,1,6.50,6.50,4.92,88.71
35,Santa Ana,2024-03-02,Snack,Food,1,1.00,1.00,0.76,89.47
36,Santa Ana,2024-03-02,Gym,Gym,1,1.50,1.50,1.14,90.60
37,Santa Ana,2024-03-02,Shower Stuff,Others,1,1.75,1.75,1.33,91.93
38,Santa Ana,2024-03-02,Hostal,Lodging,1,8.00,8.00,6.06,97.99
39,Santa Ana,2024-03-03,Hostal,Lodging,1,8.00,8.00,6.06,104.05
40,Santa Ana,2024-03-03,Food,Food,1,3.50,3.50,2.65,106.70
41,Santa Ana,2024-03-03,Volcano Entrance Fee,Activities,1,9.50,9.50,7.20,113.90
42,Santa Ana,2024-03-03,Transport,Transportation,1,2.00,2.00,1.52,115.41
43,Santa Ana,2024-03-04,Hostal,Lodging,1,8.00,8.00,6.06,121.47
44,Santa Ana,2024-03-04,Bus Santa Ana To Border,Transportation,1,0.80,0.80,0.61,122.08
45,Santa Ana,2024-03-04,Gym,Gym,1,2.00,2.00,1.52,123.59
46,Santa Ana,2024-03-04,Pupusa,Food,1,0.75,0.75,0.57,124.16
47,Santa Ana,2024-03-04,Miscellaneous,Others,1,6.00,6.00,4.58,128.74
